region,price,year,manufacturer,model,cylinders,fuel,odometer
cleveland,2500,2014.0,dodge,grand caravan,6 cylinders,gas,
cleveland,1500,2008.0,ford,taurus,6 cylinders,gas,146000.0
cleveland,2000,2010.0,chevrolet,equinox,4 cylinders,gas,
cleveland,2500,2010.0,mazda,cx-7,4 cylinders,gas,124000.0
cleveland,1000,2003.0,honda,civic,4 cylinders,gas,
cleveland,2000,2012.0,kia,sedona,6 cylinders,gas,135000.0
cleveland,2000,2008.0,chevrolet,trailblazer,6 cylinders,gas,
cleveland,8750,2012.0,infiniti,g37xs,6 cylinders,gas,100000.0
cleveland,750,2019.0,chevrolet,equinox,,gas,
cleveland,5900,2005.0,audi,s4,8 cylinders,gas,151000.0
cleveland,5900,2005.0,audi,s4,8 cylinders,gas,151000.0
cleveland,9000,1999.0,chevrolet,tahoe z71,8 cylinders,gas,89506.0
cleveland,18994,2017.0,nissan,maxima,6 cylinders,gas,41585.0
cleveland,5000,1985.0,dodge,d-150,8 cylinders,gas,108000.0
cleveland,14497,2016.0,buick,verano,4 cylinders,gas,7437.0
cleveland,9900,2007.0,ford,e350,8 cylinders,gas,87300.0
cleveland,5997,2009.0,ford,edge,6 cylinders,gas,156692.0
cleveland,1,2019.0,toyota,avalon camry,6 cylinders,gas,4420.0
cleveland,10500,2016.0,chevrolet,malibu lt,4 cylinders,gas,54000.0
cleveland,34950,2012.0,,F550 Super Duty,8 cylinders,diesel,70000.0
cleveland,12582,2016.0,ford,fusion,4 cylinders,gas,51464.0
cleveland,15900,2008.0,chevrolet,silverado 3500,,diesel,199580.0
cleveland,28000,2011.0,,freightliner cascadia,,diesel,
cleveland,25895,2017.0,toyota,sienna,6 cylinders,gas,28170.0
cleveland,12682,2017.0,hyundai,elantra,4 cylinders,gas,24316.0
cleveland,19982,2013.0,audi,a7,6 cylinders,gas,83501.0
cleveland,17000,2008.0,ford,f350 king ranch,8 cylinders,diesel,
cleveland,16300,2016.0,honda,odyssey,6 cylinders,gas,100300.0
cleveland,39950,2012.0,ford,f-550,10 cylinders,gas,8849.0
cleveland,13500,2012.0,buick,lacrosse premium iii,6 cylinders,gas,67000.0
cleveland,15900,2011.0,ford,e350 cutaway,8 cylinders,gas,180000.0
cleveland,2400,2001.0,lincoln,continental,,gas,79000.0
cleveland,4495,2010.0,chevrolet,cobalt,,gas,
cleveland,123456,1934.0,chevrolet,2dr sedan,8 cylinders,gas,8300.0
cleveland,6700,2012.0,mitsubishi,galant fe,4 cylinders,gas,79813.0
cleveland,10995,2018.0,chevrolet,malibu,4 cylinders,gas,63600.0
cleveland,4499,2007.0,honda,cr-v,4 cylinders,gas,198410.0
cleveland,6499,2015.0,chevrolet,sonic ltz,4 cylinders,gas,81000.0
cleveland,2499,2007.0,ford,focus,4 cylinders,gas,84000.0
cleveland,14995,2019.0,honda,civic,4 cylinders,gas,7980.0
cleveland,5500,2009.0,,Ho,4 cylinders,gas,138500.0
cleveland,4900,2008.0,subaru,legacy,4 cylinders,gas,102001.0
cleveland,28500,2016.0,ford,transit 350 xlt wheelchair,6 cylinders,gas,79600.0
cleveland,7599,2009.0,honda,odyssey,6 cylinders,gas,94776.0
cleveland,23500,2018.0,ford,transit 350 xlt,6 cylinders,gas,52600.0
cleveland,19999,2017.0,ford,transit 350 xlt,6 cylinders,gas,74300.0
cleveland,6295,2009.0,chevrolet,impala,6 cylinders,gas,66500.0
cleveland,16990,2014.0,mini,countryman cooper s all4,,gas,20866.0
cleveland,38990,2014.0,porsche,boxster convertible 2d,,gas,25316.0
cleveland,12990,2016.0,chevrolet,sonic lt hatchback,,gas,16539.0
cleveland,47990,2019.0,chevrolet,tahoe lt sport utility,8 cylinders,gas,12304.0
cleveland,37590,2018.0,tesla,model 3 mid range sedan 4d,,electric,47215.0
cleveland,16590,2010.0,bmw,1 series 135i convertible 2d,,other,46128.0
cleveland,31990,2020.0,ford,ranger supercrew xl pickup,,gas,5012.0
cleveland,22990,2014.0,audi,a6 3.0t prestige sedan 4d,6 cylinders,gas,53122.0
cleveland,3500,2005.0,chevrolet,colorado,5 cylinders,gas,140000.0
cleveland,2700,2006.0,chevrolet,malibu,,gas,
cleveland,9700,2007.0,lexus,rx 350,6 cylinders,gas,114700.0
cleveland,10500,2013.0,buick,regal gs turbo,4 cylinders,gas,97250.0
cleveland,1995,2007.0,ford,taurus se,6 cylinders,gas,85000.0
cleveland,1850,2010.0,kia,soul + automatic,4 cylinders,gas,158200.0
cleveland,6700,2012.0,chevrolet,cruze,4 cylinders,gas,111300.0
cleveland,36990,2016.0,audi,a7 premium plus sedan 4d,6 cylinders,gas,11808.0
cleveland,29990,2017.0,ford,expedition xlt sport,6 cylinders,gas,38793.0
cleveland,2400,1998.0,ford,f-150,6 cylinders,gas,
cleveland,5995,2009.0,cadillac,cts,6 cylinders,gas,135000.0
cleveland,1975,2006.0,honda,civic,4 cylinders,gas,198161.0
cleveland,28604,2017.0,volvo,xc90,4 cylinders,gas,72450.0
cleveland,13329,2015.0,toyota,rav4,,gas,114308.0
cleveland,8990,2014.0,,smart fortwo Passion Hatchback,,gas,55290.0
cleveland,10990,2016.0,chevrolet,spark ev 2lt hatchback,,electric,22463.0
cleveland,27590,2017.0,chevrolet,colorado extended cab,6 cylinders,gas,24600.0
cleveland,37990,2019.0,chevrolet,suburban lt sport,8 cylinders,gas,43635.0
cleveland,17990,2011.0,audi,q7 3.0t quattro premium,6 cylinders,gas,74797.0
cleveland,28590,2019.0,chevrolet,silverado 1500 ld,8 cylinders,gas,28494.0
cleveland,24990,2014.0,honda,ridgeline sport pickup 4d,6 cylinders,gas,33268.0
cleveland,25990,2018.0,bmw,i3 s w/range extender,,hybrid,20647.0
cleveland,16900,2018.0,,2018 Sonata,,gas,7754.0
cleveland,2200,2002.0,chevrolet,s10 zr2,6 cylinders,gas,158258.0
cleveland,4900,2012.0,honda,,4 cylinders,gas,207000.0
cleveland,9000,2004.0,,2004 international,,diesel,
cleveland,4300,2011.0,chevrolet,,4 cylinders,gas,155000.0
cleveland,5900,2012.0,hyundai,,4 cylinders,gas,115000.0
cleveland,11775,2006.0,dodge,grand caravan,,gas,31697.0
cleveland,9000,2000.0,,2000 Savanna,,gas,
cleveland,8000,1984.0,porsche,944,4 cylinders,gas,92000.0
cleveland,539,2019.0,bmw,x3,,gas,
cleveland,3500,1985.0,toyota,celica gt,4 cylinders,gas,
cleveland,3750,2003.0,bmw,x5,6 cylinders,gas,144527.0
cleveland,1500,2001.0,jeep,grand cherokee laredo 4x4,6 cylinders,gas,195000.0
cleveland,22999,2013.0,toyota,sequoia platinum,,other,144128.0
cleveland,11999,2012.0,toyota,venza le,,gas,145311.0
cleveland,11500,1987.0,ford,e350 cabriolet,,gas,
cleveland,12500,2017.0,chevrolet,equinox lt awd,4 cylinders,gas,76000.0
cleveland,500,2011.0,rover,,,gas,
cleveland,6400,2014.0,chevrolet,equinox,4 cylinders,gas,135000.0
cleveland,6598,2010.0,honda,civic,4 cylinders,gas,85454.0
cleveland,1998,2011.0,mitsubishi,galant,4 cylinders,gas,218578.0
cleveland,500,2012.0,dodge,durango,,gas,
cleveland,5900,2012.0,buick,,6 cylinders,gas,112000.0
cleveland,3990,2005.0,saturn,vue,,gas,
cleveland,500,2008.0,,ORD F350,,diesel,
cleveland,5795,2010.0,bmw,528xi awd,6 cylinders,gas,103248.0
cleveland,1700,2004.0,honda,accord,6 cylinders,gas,215000.0
cleveland,17500,1964.0,ford,galaxie 500,8 cylinders,gas,
cleveland,10995,2015.0,,Scion TC Coupe,4 cylinders,gas,67000.0
cleveland,1998,2009.0,chevrolet,aveo 5,4 cylinders,gas,146989.0
cleveland,3595,2012.0,chrysler,town&country,6 cylinders,gas,168951.0
cleveland,9800,2013.0,hyundai,santa fe sport,4 cylinders,gas,85000.0
cleveland,2800,2000.0,acura,integra,4 cylinders,gas,191420.0
cleveland,18995,2017.0,ford,transit cargo van,4 cylinders,gas,46000.0
cleveland,1800,2001.0,dodge,caravan,,gas,
cleveland,7295,2010.0,mercedes-benz,,6 cylinders,gas,145208.0
cleveland,8999,2011.0,,Nissand Rogue SL,,gas,130000.0
cleveland,6000,2008.0,lexus,is 250,,gas,150000.0
cleveland,11499,2016.0,hyundai,elantra se,,gas,74000.0
cleveland,500,2009.0,saturn,vue,,gas,
cleveland,9999,2008.0,buick,enclave cxl,,gas,148000.0
cleveland,6000,2010.0,toyota,corolla s,4 cylinders,gas,130600.0
cleveland,500,2018.0,chevrolet,camaro,,gas,
cleveland,4000,1961.0,,AMC RAMBLER,6 cylinders,gas,
cleveland,1900,2002.0,dodge,dakota,,gas,168000.0
cleveland,20724,2012.0,ram,1500 slt,8 cylinders,gas,
cleveland,21990,2014.0,nissan,frontier crew cab sv,6 cylinders,gas,56202.0
cleveland,15990,2014.0,honda,civic ex-l coupe 2d,,gas,17761.0
cleveland,8,2007.0,ram,1500,6 cylinders,gas,
cleveland,7982,2011.0,mitsubishi,outlander,,gas,117615.0
cleveland,9992,2014.0,subaru,forester,,gas,127082.0
cleveland,12891,2013.0,honda,accord,,gas,138562.0
cleveland,26990,2018.0,ram,1500 quad cab slt pickup 4d,6 cylinders,other,23939.0
cleveland,19590,2014.0,volvo,xc60 t6 sport utility 4d,,gas,57923.0
cleveland,53990,2019.0,gmc,sierra 1500 crew cab denali,8 cylinders,gas,8478.0
cleveland,37990,2019.0,toyota,4runner sr5 premium sport,6 cylinders,gas,11651.0
cleveland,29990,2012.0,gmc,yukon denali sport utility,8 cylinders,gas,23931.0
cleveland,30990,2015.0,audi,s5 premium plus convertible,6 cylinders,gas,17851.0
cleveland,21990,2012.0,mercedes-benz,e-class e 550,8 cylinders,gas,61594.0
cleveland,33990,2020.0,ram,1500 classic crew cab slt,8 cylinders,gas,5540.0
cleveland,28990,2017.0,chevrolet,silverado 1500 double,6 cylinders,gas,28466.0
cleveland,35990,2019.0,subaru,wrx sti sedan 4d,,gas,3031.0
cleveland,31990,2015.0,chevrolet,silverado 1500 regular,6 cylinders,gas,5656.0
cleveland,17990,2019.0,toyota,corolla hatchback se 4d,,gas,8265.0
cleveland,27990,2020.0,ford,f150 regular cab xlt pickup,6 cylinders,other,353.0
cleveland,14590,2012.0,volvo,s80 t6 sedan 4d,,gas,74975.0
cleveland,12272,2014.0,ford,escape,,gas,91954.0
cleveland,3790,2007.0,mitsubishi,outlander,,gas,
cleveland,7995,2016.0,chevrolet,cruze lt sedan 4d,4 cylinders,gas,87500.0
cleveland,9500,2009.0,jeep,grand cherokee,6 cylinders,gas,89400.0
cleveland,8995,2011.0,subaru,outback,6 cylinders,gas,129900.0
cleveland,1500,2003.0,honda,odyssey,,gas,149000.0
cleveland,7999,2006.0,toyota,avalon xl,6 cylinders,gas,154000.0
cleveland,32995,2014.0,ford,f350 super duty 4x4 diesel,8 cylinders,diesel,99370.0
cleveland,11995,2008.0,ford,f350 sd 4x4 ext cab diesel,8 cylinders,diesel,211000.0
cleveland,2890,2002.0,jeep,liberty,,gas,132000.0
cleveland,9991,2011.0,volkswagen,routan,,gas,63419.0
cleveland,9331,2011.0,volkswagen,jetta,,gas,98159.0
cleveland,10311,2011.0,lexus,ct 200h,,hybrid,108230.0
cleveland,0,2013.0,bmw,335i,,gas,124672.0
cleveland,0,2010.0,mercedes-benz,glk-class,,gas,109600.0
cleveland,9981,2010.0,nissan,xterra,,gas,154823.0
cleveland,7499,2013.0,hyundai,sonata gls,4 cylinders,gas,86966.0
cleveland,4200,2012.0,dodge,grand caravan,6 cylinders,gas,151000.0
cleveland,15900,2005.0,ford,f250 super duty,8 cylinders,diesel,212000.0
cleveland,750,2019.0,chevrolet,equinox,,gas,
cleveland,6499,2012.0,jeep,grand cherokee,6 cylinders,gas,98000.0
cleveland,8995,2017.0,nissan,sentra clean in/out,4 cylinders,gas,72000.0
cleveland,2500,2013.0,hyundai,elantra,,diesel,
cleveland,23402,2017.0,subaru,wrx,4 cylinders,gas,37508.0
cleveland,3800,2000.0,chevrolet,malibu,4 cylinders,gas,
cleveland,10900,2012.0,audi,a4,,gas,110715.0
cleveland,8995,2019.0,mitsubishi,mirage g4,,gas,20000.0
cleveland,799,2007.0,toyota,sienna,6 cylinders,gas,119400.0
cleveland,799,2013.0,chevrolet,impala lt,6 cylinders,gas,83500.0
cleveland,4995,2004.0,jeep,liberty,6 cylinders,gas,115479.0
cleveland,799,2010.0,cadillac,sts 4,8 cylinders,gas,89400.0
cleveland,5900,1993.0,cadillac,fleetwood limosoine,8 cylinders,gas,65000.0
cleveland,16994,2015.0,bmw,x1,,gas,36501.0
cleveland,799,2008.0,,SCION XB,4 cylinders,gas,101000.0
cleveland,6886,2012.0,chevrolet,malibu,4 cylinders,gas,119531.0
cleveland,799,2007.0,toyota,highlandeer,6 cylinders,gas,119400.0
cleveland,799,2013.0,chevrolet,impala lt,6 cylinders,gas,83500.0
cleveland,7950,2007.0,lexus,rx 350,6 cylinders,gas,149000.0
cleveland,29186,2017.0,lexus,gs 350,6 cylinders,gas,45182.0
cleveland,13982,2012.0,chevrolet,camaro,6 cylinders,gas,76688.0
cleveland,9500,2007.0,lexus,rx 350,6 cylinders,gas,91628.0
cleveland,2900,2004.0,bmw,3 series,6 cylinders,gas,127898.0
cleveland,34000,2021.0,acura,rdx,4 cylinders,gas,3335.0
cleveland,12900,2013.0,chevrolet,express passenger,8 cylinders,gas,50008.0
cleveland,1500,2008.0,ford,taurus,6 cylinders,gas,146000.0
cleveland,2000,2008.0,chevrolet,trailblazer,6 cylinders,gas,
cleveland,1000,2003.0,honda,civic,4 cylinders,gas,
cleveland,24494,2017.0,dodge,challenger,8 cylinders,gas,61103.0
cleveland,2000,2012.0,kia,sedona,6 cylinders,gas,135000.0
cleveland,2500,2014.0,dodge,grand caravan,6 cylinders,gas,
cleveland,2000,2010.0,chevrolet,equinox,4 cylinders,gas,
cleveland,11995,2014.0,ford,escape,4 cylinders,gas,74459.0
cleveland,15600,2018.0,toyota,corolla le cvt,4 cylinders,gas,
cleveland,2500,2004.0,buick,lesabre,,gas,146000.0
cleveland,22985,2016.0,lincoln,mkx,6 cylinders,gas,49183.0
cleveland,12486,2017.0,ford,c-max energi,4 cylinders,hybrid,33082.0
cleveland,1700,2009.0,honda,civic,4 cylinders,gas,200000.0
cleveland,35990,2020.0,jeep,gladiator sport pickup 4d 5,6 cylinders,gas,23100.0
cleveland,11990,2015.0,ford,focus electric hatchback 4d,,hybrid,6638.0
cleveland,9995,2019.0,nissan,versa clean,4 cylinders,gas,28414.0
cleveland,24987,2015.0,ford,transit cargo,6 cylinders,gas,68246.0
cleveland,7997,2013.0,hyundai,sonata,4 cylinders,gas,112851.0
cleveland,3900,2007.0,buick,,6 cylinders,gas,129000.0
cleveland,13997,2010.0,ford,f-150,8 cylinders,gas,65980.0
cleveland,9997,2015.0,ford,edge,4 cylinders,gas,170171.0
cleveland,7987,2007.0,subaru,impreza,4 cylinders,gas,31537.0
cleveland,21597,2016.0,ford,edge,4 cylinders,gas,49694.0
cleveland,2250,2007.0,ford,edge,,gas,198000.0
cleveland,800,1998.0,honda,prelude 1998,,gas,
cleveland,2350,2005.0,bmw,,,gas,148000.0
cleveland,1500,2001.0,chevrolet,impala,,gas,18000.0
cleveland,1000,2008.0,chevrolet,cobalt,,gas,220000.0
cleveland,13981,2010.0,ford,expedition,,gas,103688.0
cleveland,7300,2013.0,honda,fit sport,,gas,
cleveland,2000,1989.0,pontiac,firebird formula 350,8 cylinders,gas,
cleveland,10500,2010.0,audi,q5 quattro premium plus,6 cylinders,gas,129000.0
cleveland,3600,1975.0,jeep,cj5,6 cylinders,gas,79000.0
cleveland,4500,2006.0,honda,odyssey,,gas,
cleveland,1500,2007.0,chevrolet,,4 cylinders,gas,177000.0
cleveland,3995,2009.0,,smart fortwo,3 cylinders,gas,84000.0
cleveland,9995,2019.0,nissan,versa clean,4 cylinders,gas,28414.0
cleveland,39285,2017.0,,Maserati GHIBLI,6 cylinders,gas,21277.0
cleveland,1499,2008.0,mazda,3,,gas,157000.0
cleveland,2399,2003.0,buick,century,6 cylinders,gas,84000.0
cleveland,9999,2014.0,dodge,journey sxt,,gas,134000.0
cleveland,5500,2012.0,chevrolet,traverse,6 cylinders,gas,180000.0
cleveland,5999,2007.0,chevrolet,trailblazer ls,,gas,124000.0
cleveland,10999,2013.0,nissan,pathfinder le,,gas,153000.0
cleveland,6000,2002.0,dodge,grand caravan,6 cylinders,gas,47500.0
cleveland,23000,2016.0,gmc,acadia slt-1,6 cylinders,gas,43000.0
cleveland,8750,2015.0,ford,fusion se,4 cylinders,gas,123000.0
cleveland,3995,2005.0,pontiac,g6,,gas,
cleveland,7900,1977.0,mercedes-benz,450sl,,gas,
cleveland,18600,2016.0,ford,e450 super duty,,gas,
cleveland,29991,1985.0,chevrolet,k10,,other,87071.0
cleveland,32950,2019.0,dodge,caravan,6 cylinders,gas,3321.0
cleveland,799,2004.0,chevrolet,trailblazer,6 cylinders,gas,166.0
cleveland,199,2017.0,dodge,charger,,gas,
cleveland,5000,1994.0,,International 9400,6 cylinders,diesel,783000.0
cleveland,14999,2016.0,subaru,wrx,4 cylinders,gas,72321.0
cleveland,35491,2017.0,jeep,wrangler unlimited,6 cylinders,gas,31579.0
cleveland,21991,2014.0,nissan,frontier crew cab,6 cylinders,gas,98193.0
cleveland,72991,2014.0,bmw,i8,3 cylinders,hybrid,12944.0
cleveland,39991,2015.0,jaguar,f-type,6 cylinders,gas,27848.0
cleveland,17991,2006.0,pontiac,gto,8 cylinders,gas,51130.0
cleveland,500,2001.0,,oldsmobile alero,,gas,
cleveland,2300,2005.0,honda,odyssey,6 cylinders,gas,227816.0
cleveland,22990,2017.0,mazda,mx-5 miata club,,gas,7075.0
cleveland,16496,2015.0,ford,explorer,,gas,102665.0
cleveland,13000,2011.0,audi,s4,6 cylinders,gas,122600.0
cleveland,48590,2017.0,bmw,m3 sedan 4d,,gas,47261.0
cleveland,37590,2017.0,ram,1500 crew cab rebel pickup,8 cylinders,gas,39167.0
cleveland,31990,2012.0,porsche,panamera 4s sedan 4d,8 cylinders,gas,68957.0
cleveland,28486,2017.0,audi,a6,4 cylinders,gas,23065.0
cleveland,3500,2004.0,pontiac,grand prix,,gas,155000.0
cleveland,8300,2013.0,ford,f150 xlt,8 cylinders,gas,171000.0
cleveland,16990,2013.0,bmw,3 series 328i coupe 2d,,gas,46678.0
cleveland,4800,2005.0,gmc,c5500,,gas,
cleveland,16990,2016.0,ford,fiesta st hatchback 4d,,gas,33027.0
cleveland,8100,2013.0,hyundai,elantra limited,4 cylinders,gas,68080.0
cleveland,30990,2017.0,jeep,wrangler unlimited sport s,6 cylinders,gas,26451.0
cleveland,11882,2017.0,ford,focus,4 cylinders,gas,32003.0
cleveland,28782,2017.0,dodge,durango,6 cylinders,gas,31422.0
cleveland,37590,2017.0,toyota,tundra double cab limited,8 cylinders,gas,32563.0
cleveland,5395,2003.0,toyota,4runner,8 cylinders,gas,
cleveland,7400,2015.0,dodge,journey,,gas,
cleveland,14000,2013.0,bmw,328xi,4 cylinders,gas,
cleveland,2900,2010.0,hyundai,sonata,4 cylinders,gas,
cleveland,14789,2018.0,hyundai,sonata se,,other,34199.0
cleveland,7000,2006.0,chevrolet,silverado 1500,6 cylinders,gas,47000.0
cleveland,43000,2014.0,,maserati granturismo sport,,gas,51150.0
cleveland,13594,2014.0,volkswagen,jetta,4 cylinders,diesel,65151.0
cleveland,6299,2012.0,toyota,corolla le,4 cylinders,gas,157000.0
cleveland,4000,1982.0,cadillac,eldorado,6 cylinders,gas,
cleveland,799,2012.0,,SUZUKI SX4,4 cylinders,gas,74450.0
cleveland,799,2013.0,chevrolet,impala lt,6 cylinders,gas,83500.0
cleveland,37590,2014.0,chevrolet,camaro zl1 coupe 2d,8 cylinders,gas,50350.0
cleveland,3500,2004.0,honda,civic,,gas,110979.0
cleveland,15990,2017.0,jeep,renegade sport suv 4d,,gas,23112.0
cleveland,5990,2005.0,ford,f-150,,gas,126519.0
cleveland,799,2008.0,ford,fusion se,6 cylinders,gas,82700.0
cleveland,2990,2006.0,ford,fusion,,gas,149368.0
cleveland,42990,2014.0,chevrolet,corvette stingray,8 cylinders,gas,20762.0
cleveland,799,2007.0,toyota,highlandeer,6 cylinders,gas,119400.0
cleveland,31990,2014.0,jeep,wrangler unlimited sahara,6 cylinders,gas,24947.0
cleveland,799,2007.0,toyota,solara convertible,6 cylinders,gas,119400.0
cleveland,3900,2010.0,ford,focus,4 cylinders,gas,78000.0
cleveland,799,2008.0,,SCION XB,4 cylinders,gas,101000.0
cleveland,799,2008.0,ford,scape limiited,6 cylinders,gas,101000.0
cleveland,799,2007.0,toyota,sienna,6 cylinders,gas,119400.0
cleveland,750,2019.0,chevrolet,equinox,,gas,
cleveland,799,2011.0,chevrolet,malibu lt,4 cylinders,gas,104523.0
cleveland,5900,1993.0,cadillac,fleetwood limosoine,8 cylinders,gas,65000.0
cleveland,799,2008.0,ford,fusion sel awd,6 cylinders,gas,84000.0
cleveland,13497,2018.0,chevrolet,trax,4 cylinders,gas,32801.0
cleveland,11299,2014.0,toyota,camry,,gas,96376.0
cleveland,22990,2012.0,ford,mustang gt premium,8 cylinders,gas,18698.0
cleveland,2000,2010.0,chevrolet,equinox,4 cylinders,gas,
cleveland,2500,2014.0,dodge,grand caravan,6 cylinders,gas,
cleveland,2500,2010.0,mazda,cx-7,4 cylinders,gas,124000.0
cleveland,2000,2012.0,kia,sedona,6 cylinders,gas,135000.0
cleveland,1000,2003.0,honda,civic,4 cylinders,gas,
cleveland,34990,2016.0,dodge,challenger r/t scat pack,8 cylinders,gas,4425.0
cleveland,2000,2009.0,jeep,grand cherokee,6 cylinders,gas,
cleveland,2000,2008.0,chevrolet,trailblazer,6 cylinders,gas,
cleveland,28990,2018.0,toyota,tacoma double cab sr5,6 cylinders,gas,17117.0
cleveland,32990,2017.0,ford,f150 super cab xlt pickup,6 cylinders,gas,14695.0
cleveland,33590,2017.0,ford,f150 supercrew cab xlt,6 cylinders,gas,14874.0
cleveland,23994,2017.0,lincoln,mkc,4 cylinders,gas,28120.0
cleveland,39990,2017.0,toyota,tundra crewmax trd pro,8 cylinders,other,29178.0
cleveland,9895,2015.0,chevrolet,city express cargo van,4 cylinders,gas,105096.0
cleveland,1500,2008.0,ford,taurus,6 cylinders,gas,146000.0
cleveland,11997,2012.0,ford,edge,6 cylinders,gas,62391.0
cleveland,13987,2006.0,ford,f-350 super duty,8 cylinders,diesel,240266.0
cleveland,5500,2000.0,chevrolet,silverado,8 cylinders,gas,158000.0
cleveland,23499,2012.0,ford,f150,6 cylinders,gas,70309.0
cleveland,6880,2008.0,acura,rdx,4 cylinders,gas,
cleveland,2500,2002.0,honda,accord,,gas,201161.0
cleveland,2700,2007.0,pontiac,vibe,,gas,1885045.0
cleveland,5500,2013.0,nissan,rogue,4 cylinders,gas,103600.0
cleveland,2700,1995.0,chevrolet,3500 utility truck,,diesel,
cleveland,3995,2005.0,saturn,vue,4 cylinders,gas,103000.0
cleveland,6800,2011.0,nissan,sentra,4 cylinders,gas,75500.0
cleveland,10800,2003.0,,Sterling AT9500,6 cylinders,diesel,
cleveland,17984,2014.0,mercedes-benz,ml 350,6 cylinders,gas,95555.0
cleveland,14500,2015.0,honda,accord,4 cylinders,gas,47631.0
cleveland,6500,2008.0,dodge,charger r/t,8 cylinders,gas,161000.0
cleveland,3800,2006.0,chrysler,pacifica,6 cylinders,gas,95000.0
cleveland,9233,2013.0,ford,escape,4 cylinders,gas,123543.0
cleveland,0,2012.0,,all cars,,gas,
cleveland,4999,2005.0,buick,lacrosse,6 cylinders,gas,138379.0
cleveland,7429,2007.0,ford,ranger,6 cylinders,gas,130446.0
cleveland,5899,2008.0,jeep,compass,4 cylinders,gas,99270.0
cleveland,9995,2014.0,subaru,impreza,4 cylinders,gas,115638.0
cleveland,9994,2007.0,honda,ridgeline,6 cylinders,gas,140228.0
cleveland,9177,2011.0,volvo,xc90,6 cylinders,gas,118501.0
cleveland,17995,2013.0,ford,e350 passenger van,8 cylinders,gas,46000.0
cleveland,10900,1973.0,,RELIANT REGAL SUPERVAN 3,4 cylinders,gas,56234.0
cleveland,0,2011.0,nissan,rouge sl awd,4 cylinders,gas,
cleveland,22500,2012.0,cadillac,escalade platinum,,gas,107000.0
cleveland,39900,1949.0,chevrolet,3100,8 cylinders,gas,26461.0
cleveland,43900,1968.0,chevrolet,camaro ss coupe 2d,8 cylinders,gas,52115.0
cleveland,500,2008.0,infiniti,qx56,,gas,
cleveland,500,2009.0,chevrolet,avalanche,,gas,
cleveland,36900,1968.0,,PLYMOUTH ROADRUNNER,8 cylinders,gas,1339.0
cleveland,500,2011.0,rover,,,gas,
cleveland,29991,2016.0,jeep,wrangler,6 cylinders,gas,62135.0
cleveland,500,2005.0,chevrolet,equinox,,gas,
cleveland,0,2013.0,dodge,grand caravan,6 cylinders,gas,
cleveland,0,2010.0,dodge,journey sxt,6 cylinders,gas,
cleveland,500,2015.0,chevrolet,equinox,,gas,
cleveland,6800,2000.0,volvo,c70,4 cylinders,gas,49000.0
cleveland,500,2010.0,kia,sportage,,gas,
cleveland,500,2012.0,chevrolet,cruze,,gas,
cleveland,500,2017.0,dodge,journey,,gas,
cleveland,49991,2018.0,ford,f150 supercrew cab,6 cylinders,gas,34891.0
cleveland,0,2015.0,chevrolet,malibu,,gas,
cleveland,0,2010.0,kia,sportage,,gas,
cleveland,500,2017.0,chevrolet,traverse,,gas,
cleveland,0,2013.0,chevrolet,equinox lt,6 cylinders,gas,
cleveland,9000,1999.0,chevrolet,tahoe z71,8 cylinders,gas,89506.0
cleveland,0,2011.0,jeep,patriot,,gas,
cleveland,0,2011.0,ford,edge,6 cylinders,gas,
cleveland,500,2016.0,buick,verano,,gas,
cleveland,0,2011.0,nissan,altima 2.5s,4 cylinders,gas,
cleveland,0,2013.0,kia,soul,4 cylinders,gas,
cleveland,0,2015.0,dodge,dart sxt,4 cylinders,gas,89000.0
cleveland,7250,2016.0,ford,focus se,4 cylinders,gas,48890.0
cleveland,0,2014.0,ford,fiesta,4 cylinders,gas,
cleveland,0,2014.0,chevrolet,sonic lt,4 cylinders,gas,
cleveland,500,2010.0,cadillac,srx,,gas,
cleveland,0,2012.0,ford,focus,4 cylinders,gas,
cleveland,0,2014.0,chevrolet,cruze lt,4 cylinders,gas,
cleveland,500,2017.0,jeep,compass,,gas,
cleveland,0,2008.0,,HUMMER H3,,gas,
cleveland,0,2009.0,honda,crv,4 cylinders,gas,
cleveland,500,2011.0,ford,transit connect,,gas,
cleveland,0,2010.0,ford,escape limited,6 cylinders,gas,
cleveland,0,2013.0,hyundai,elantra,4 cylinders,gas,
cleveland,500,2014.0,nissan,rogue,,gas,
cleveland,799,2008.0,ford,fusion sel awd,6 cylinders,gas,84000.0
cleveland,500,2015.0,lincoln,mkc,,gas,
cleveland,0,2011.0,chevrolet,traverse lt,6 cylinders,gas,
cleveland,0,2013.0,ford,escape,,gas,
cleveland,4500,2010.0,kia,soul,4 cylinders,gas,87500.0
cleveland,0,2010.0,honda,accord ex,4 cylinders,gas,127000.0
cleveland,0,2011.0,ford,taurus se,6 cylinders,gas,
cleveland,21000,2011.0,toyota,tundra sr5,8 cylinders,gas,106815.0
cleveland,0,2014.0,kia,forte,4 cylinders,gas,
cleveland,500,2013.0,dodge,journey,,gas,
cleveland,0,2011.0,nissan,murano,6 cylinders,gas,
cleveland,0,2011.0,mitsubishi,outlander,,gas,
cleveland,5900,1993.0,cadillac,fleetwood limosoine,8 cylinders,gas,65000.0
cleveland,500,2013.0,chevrolet,camaro,,gas,
cleveland,500,2011.0,dodge,charger,,gas,
cleveland,14500,2015.0,honda,civic le,4 cylinders,gas,30000.0
