region,price,year,manufacturer,model,cylinders,fuel,odometer
gainesville,13500,1996.0,gmc,sierra,,gas,96000.0
gainesville,3300,2006.0,dodge,magnum,4 cylinders,gas,125000.0
gainesville,4500,2006.0,mazda,tribute,,gas,97493.0
gainesville,6750,2012.0,jeep,liberty,,gas,147614.0
gainesville,29850,2016.0,ford,econoline commercial cutaway,10 cylinders,gas,26408.0
gainesville,19450,2013.0,ford,econoline cargo van,8 cylinders,,28573.0
gainesville,27850,2019.0,chevrolet,express cargo van,8 cylinders,gas,12134.0
gainesville,24550,2017.0,chevrolet,express passenger,8 cylinders,,5787.0
gainesville,28450,2019.0,ford,transit van,6 cylinders,gas,14355.0
gainesville,43750,2018.0,chevrolet,silverado 3500hd,8 cylinders,diesel,40613.0
gainesville,43590,2018.0,toyota,tundra crewmax sr5 pickup,8 cylinders,gas,15251.0
gainesville,14990,2016.0,chevrolet,malibu lt sedan 4d,,gas,17633.0
gainesville,16850,2010.0,chevrolet,express,8 cylinders,gas,22846.0
gainesville,0,2019.0,nissan,altima,4 cylinders,gas,
gainesville,999,2018.0,chevrolet,equinox,4 cylinders,gas,
gainesville,0,2016.0,chrysler,200,6 cylinders,gas,
gainesville,999,2015.0,nissan,rogue select,4 cylinders,gas,
heartland florida,3600,2006.0,ford,expedition,8 cylinders,gas,179797.0
heartland florida,34700,2015.0,ford,f-150 lariat 4x4,6 cylinders,gas,119627.0
heartland florida,19900,1991.0,,Cheverolet Corvette ZR1,8 cylinders,gas,78500.0
jacksonville,18750,2013.0,toyota,4runner,6 cylinders,gas,132000.0
jacksonville,8900,2015.0,kia,optima,4 cylinders,gas,41000.0
jacksonville,8900,2005.0,,sterling acterra,6 cylinders,diesel,502000.0
jacksonville,2500,1999.0,toyota,tacoma,4 cylinders,gas,147000.0
jacksonville,3999,2008.0,ford,focus ses,4 cylinders,gas,123000.0
jacksonville,37990,2018.0,ram,3500,,diesel,
jacksonville,3800,2006.0,toyota,avalon,,gas,
jacksonville,2600,2003.0,subaru,impreza,4 cylinders,gas,
north central FL,13995,2004.0,ford,f-250,,diesel,
north central FL,0,2009.0,chevrolet,silverado 2500,,diesel,177812.0
north central FL,0,2016.0,ford,f-250,,diesel,144648.0
north central FL,7995,2006.0,ford,f-150,,gas,
north central FL,146,2014.0,toyota,camry se,4 cylinders,gas,101792.0
north central FL,56000,2017.0,ford,f-250 super duty,8 cylinders,diesel,
north central FL,0,2007.0,ford,f-150,,gas,151337.0
north central FL,7995,2006.0,ford,f-150,,gas,
north central FL,39611,2020.0,ford,f150 xlt 4wd f-150 4x4,,gas,
north central FL,729,2018.0,ram,3500 big horncrew cab,6 cylinders,diesel,79620.0
north central FL,28408,2019.0,ram,1500 classic slt 4wd,,gas,
north central FL,500,2012.0,chevrolet,1500,,gas,
ocala,13000,2015.0,toyota,camry,,gas,100558.0
ocala,12990,2017.0,ford,c-max hybrid se wagon 4d,,hybrid,29589.0
ocala,13590,2009.0,bmw,3 series 335i sedan 4d,,gas,82161.0
ocala,44990,2018.0,toyota,tundra crewmax limited,8 cylinders,gas,7775.0
okaloosa / walton,4800,2005.0,ram,1500,6 cylinders,gas,205375.0
